s,Faction,Front Name,Era,Cost,Front Factory,Upgrade1,Upgrade2,Back Name,Back Factory,Input,Front Output,Front Efficiency,Back Output,Back Efficiency,Upgrades
149,Kjasjavikalimm Directorate,Underground Cities,0,Starting,➪bb***,Organic Construction,Antimatter Power,Asteroid Mine Network,➪bb***T,0,5,1000.000,6.5,1000.000,1.300
150,Kjasjavikalimm Directorate,Atomic Transmutation,1,Researched,U➪YBb,Ubiquitous Cultural Repository,Nanotechnology,Pseudomaterials,U➪YBbT,3,4,1.333,5.5,1.833,1.375
151,Kjasjavikalimm Directorate,Perfume Pheromone Loyalty,0,Starting,bbbb➪YBTw,Genetic Engineering,Nanotechnology,Multiconformal Pheromonics,bbbb➪YBTw+gb,4,5.5,1.375,7.5,1.875,1.364
152,Kjasjavikalimm Directorate,Singularity Control,2,Researched,UU➪YTBwwb*,Hyperspace Mining,Achronal Analysis,Wormhole Grid,UU➪YTBwwwbb*,6,8.5,1.417,10.5,1.750,1.235
153,Kjasjavikalimm Directorate,Phases,,Reference,,,,,,,,,,,
154,Kjasjavikalimm Directorate,Megastructures,3,Researched,UUU➪$$$$$wg,Temporal Dilation,Matter Generation,Dyson Swarms,UUU➪$$$$$$wgY,9,17,1.889,21.5,2.389,1.265
155,Kt'Zr'Kt'Rtl Adhocracy,Nanotechnology,1,Researched,bbb➪Uw,Genetic Engineering,Atomic Transmutation,Nanofabricators,bbb➪UwB,3,4,1.333,5.5,1.833,1.375
156,Kt'Zr'Kt'Rtl Adhocracy,Genetic Engineering,1,Researched,ggg➪TBb,Nanotechnology,Clinical Immortality,Genetic Resynthesis,ggg➪TBbB,3,4,1.333,5.5,1.833,1.375
157,Kt'Zr'Kt'Rtl Adhocracy,Universal Translator,1,Researched,www➪$+T,Ubiquitous Cultural Repository,Quantum Computers,Universal Empathic Communication,www➪$+Twb,3,4.5,1.500,6.5,2.167,1.444
158,Kt'Zr'Kt'Rtl Adhocracy,Antimatter Power,2,Researched,bbbb➪BBTw,Hyperspace Mining,Organic Construction,Antimatter Compounds,bbbb➪BBTwgw,4,5.5,1.375,7.5,1.875,1.364
159,Kt'Zr'Kt'Rtl Adhocracy,Interspecies Medical Exchange,2,Researched,gggg➪$w+bb,Cross Species Ethical Equality,Organic Construction,Panbiologic Medicine,gggg➪$wbT+bb,4,6,1.500,8.5,2.125,1.417
160,Kt'Zr'Kt'Rtl Adhocracy,Cross Species Ethical Equality,2,Researched,wwww➪$+$b,Interspecies Medical Exchange,Achronal Analysis,Concrete Universal Metaethics,wwww➪$U+$b,4,7,1.750,10,2.500,1.429
161,Kt'Zr'Kt'Rtl Adhocracy,Xeno Cultural Exchange,3,Researched,bbbbb➪$Tgggw+$,Megastructures,Social Exodus,Multispecies Hybrid Cultures,bbbbb➪$$Tgggw+$Bb,5,11.5,2.300,17,3.400,1.478
162,Kt'Zr'Kt'Rtl Adhocracy,Poly Species Corporations,3,Researched,ggggg➪$YT**+wwwb,Galactic Telecomm Control,Xeno Cultural Exchange,Full Interspecies Integration,ggggg➪$$YT**+wwwwb,5,12,2.400,16,3.200,1.333
163,Kt'Zr'Kt'Rtl Adhocracy,Social Exodus,3,Researched,wwwww➪$**B+$**BT,Galactic Telecomm Control,Xeno Cultural Exchange,Galactic Colonization,wwwww➪$$**B+$**BTb,5,14.5,2.900,18.5,3.700,1.276
164,Kt'Zr'Kt'Rtl Adhocracy,Quantum Computers,1,Researched,BB➪TYw,Universal Translator,Clinical Immortality,Nondeterministic Polynomial Collapse,BB➪TYwT,3,4,1.333,5.5,1.833,1.375
165,Kt'Zr'Kt'Rtl Adhocracy,Clinical Immortality,1,Researched,TT➪$b,Genetic Engineering,Atomic Transmutation,Practical Immortality,TT➪$bB,3,4,1.333,5.5,1.833,1.375
166,Kt'Zr'Kt'Rtl Adhocracy,Ubiquitous Cultural Repository,1,Researched,YY➪$b,Universal Translator,Quantum Computers,Memetic Lifeforms,YY➪$bT,3,4,1.333,5.5,1.833,1.375
167,Kt'Zr'Kt'Rtl Adhocracy,Achronal Analysis,2,Researched,BBB➪UTwg,Antimatter Power,Singularity Control,Time Viewers,BBB➪UTwgbT,4.5,6.5,1.444,9,2.000,1.385
168,Kt'Zr'Kt'Rtl Adhocracy,Organic Construction,2,Researched,TTT➪**wwbg,Interspecies Medical Exchange,Cross Species Ethical Equality,Living Infrastructure,TTT➪**wwbgB,4.5,6,1.333,7.5,1.667,1.250
169,Kt'Zr'Kt'Rtl Adhocracy,Hyperspace Mining,2,Researched,YYY➪UT+TB,Antimatter Power,Singularity Control,Hyperspace Settlements,YYY➪UTBww+TB,4.5,7.5,1.667,11,2.444,1.467
170,Kt'Zr'Kt'Rtl Adhocracy,Galactic Telecomm Control,3,Researched,BBBB➪$$$bbg,Poly Species Corporations,Social Exodus,Galactic Domination,BBBB➪$$$$Ybbg,6,12,2.000,16.5,2.750,1.375
171,Kt'Zr'Kt'Rtl Adhocracy,Temporal Dilation,3,Researched,TTTT➪$$Ubbw,Megastructures,Matter Generation,Stasis Field,TTTT➪$$$Ubbw+U,6,12,2.000,18,3.000,1.500
172,Kt'Zr'Kt'Rtl Adhocracy,Matter Generation,3,Researched,YYYY➪$$UBww,Poly Species Corporations,Temporal Dilation,Macroscale Teleportation,YYYY➪$$$UBwww,6,12.5,2.083,16.5,2.750,1.320
173,Kt'Zr'Kt'Rtl Adhocracy,Polyutility Components,0,Starting,*,Atomic Transmutation,Quantum Computers,Adaptive Architecture,*T,,,,,,
174,Kt'Zr'Kt'Rtl Adhocracy,Hand Crafted,0,Starting,➪T,Organic Construction,Achronal Analysis,Microfabricated,➪gbU,0,4,1000.000,7.5,1000.000,1.875
175,Kt'Zr'Kt'Rtl Adhocracy,Atomic Transmutation,1,Researched,U➪BBg,Ubiquitous Cultural Repository,Nanotechnology,Pseudomaterials,U➪BBgY,3,4,1.333,5.5,1.833,1.375
176,Kt'Zr'Kt'Rtl Adhocracy,High-Risk Laboratories,0,Starting,wgbb,Hyperspace Mining,Singularity Control,Stellar Power Harnessing,wwggbb,,,,,,
177,Kt'Zr'Kt'Rtl Adhocracy,Anarchic Sacrificial,0,Starting,U➪,Clinical Immortality,Universal Translator,Polysystem,U➪B,3,4,1.333,7.5,2.500,1.875
178,Kt'Zr'Kt'Rtl Adhocracy,Singularity Control,2,Researched,UU➪YYBwbg*,Hyperspace Mining,Achronal Analysis,Wormhole Grid,UU➪YYBwbg*wb,6,8.5,1.417,10.5,1.750,1.235
179,Kt'Zr'Kt'Rtl Adhocracy,Diffusion,0,Starting,TYB****,Nanotechnology,Genetic Engineering,Teleological Redesign,TYB****+wb,,,,,,
180,Kt'Zr'Kt'Rtl Adhocracy,Expansive Social,0,Starting,ggggg➪,Cross Species Ethical Equality,Interspecies Medical Exchange,Psychohistoric,ggggg➪wb,5,8.5,1.700,12.5,2.500,1.471
181,Kt'Zr'Kt'Rtl Adhocracy,Megastructures,3,Researched,UUU➪$$$$$bb,Temporal Dilation,Matter Generation,Dyson Swarms,UUU➪$$$$$$bbT,9,17,1.889,21.5,2.389,1.265
182,Kt'Zr'Kt'Rtl Adhocracy,Phases,,Reference,,,,,,,,,,,
183,Kt'Zr'Kt'Rtl Adhocracy,Zd'Nx,1,Y→,"J,B➪wg",,,,,1.5,2,1.333,,,
184,Kt'Zr'Kt'Rtl Adhocracy,Kz'Tlr,1,Y→,"J,w➪B",,,,,1,1.5,1.500,,,
185,Kt'Zr'Kt'Rtl Adhocracy,Kln'Qn,1,YY→,"I,➪w",,,,,0,1,,,,
186,Kt'Zr'Kt'Rtl Adhocracy,Nz'Cht'Qt'Rz,1,YY→,"W,Y➪U",,,,,1.5,3,2.000,,,
187,Kt'Zr'Kt'Rtl Adhocracy,Tn'Rg'Tx'Tc,1,Y→,"D,B➪wg",,,,,1.5,2,1.333,,,
188,Kt'Zr'Kt'Rtl Adhocracy,Gz'Zd,1,YY→,"J,➪w",,,,,0,1,1000.000,,,
189,Kt'Zr'Kt'Rtl Adhocracy,!IN'ZR'KZ,1,YY→,"D,wb➪YB",,,,,2,3,1.500,,,
190,Kt'Zr'Kt'Rtl Adhocracy,Tk'T!'Zk,1,YY→,"D,➪b",,,,,0,1,,,,
191,Kt'Zr'Kt'Rtl Adhocracy,Kr'Xn'Xx,1,Y→,"I,b➪T",,,,,1,1.5,,,,
192,Kt'Zr'Kt'Rtl Adhocracy,Kt'Dq'Rn'Nr,1,Y→,"W,b➪B",,,,,1,1.5,1.500,,,
193,Kt'Zr'Kt'Rtl Adhocracy,Nx'Xt'!In,1,YY→,"I,➪b",,,,,0,1,,,,
194,Kt'Zr'Kt'Rtl Adhocracy,Nx'Dr,1,Y→,"D,g➪T",,,,,1,1.5,1.500,,,
195,Kt'Zr'Kt'Rtl Adhocracy,Nz'Tt,1,Y→,"W,T➪wb",,,,,1.5,2,1.333,,,
196,Unity,Universal Translator,1,Researched,www➪$+B,Ubiquitous Cultural Repository,Quantum Computers,Universal Empathic Communication,sss➪$+BA,3,4,1.333,6,2.000,1.500
197,Unity,Phases,,Reference,,,,,,,,,,,
198,Unity,Limit,1,LLLN→$,U➪Aaaa,Universal Translator,Quantum Computers,Limit,U➪Aaaa+a,3,4.5,1.500,5.5,1.833,1.222
199,Unity,Cross Species Ethical Equality,2,Researched,wwww➪$+$w,Interspecies Medical Exchange,Achronal Analysis,Concrete Universal Metaethics,wwww➪$Aa+$w,4,7,1.750,9.5,2.375,1.357
200,Unity,Nanotechnology,1,Researched,bbb➪Uw,Genetic Engineering,Atomic Transmutation,Nanofabricators,sss➪Uwa,3,4,1.333,5,1.667,1.250
201,Unity,Genetic Engineering,1,Researched,ggg➪TBb,Nanotechnology,Clinical Immortality,Genetic Resynthesis,sss➪YBba,3,4,1.333,5,1.667,1.250
202,Unity,Social Exodus,3,Researched,wwwww➪$**B+$**YT,Galactic Telecomm Control,Xeno Cultural Exchange,Galactic Colonization,wwwww➪$$**B+$**YgT,5,14.5,2.900,18.5,3.700,1.276
203,Unity,Antimatter Power,2,Researched,bbbb➪YYTg,Hyperspace Mining,Organic Construction,Antimatter Compounds,bbbb➪YYTgA,4,5.5,1.375,7,1.750,1.273
204,Unity,Interspecies Medical Exchange,2,Researched,gggg➪$w+bb,Cross Species Ethical Equality,Organic Construction,Panbiologic Medicine,gggg➪$waa+bb,4,6,1.500,8,2.000,1.333
205,Unity,Ubiquitous Cultural Repository,1,Researched,YY➪$b,Universal Translator,Quantum Computers,Memetic Lifeforms,LL➪$ba,3,4,1.333,5,1.667,1.250
206,Unity,Xeno Cultural Exchange,3,Researched,bbbbb➪$Twwgg+$,Megastructures,Social Exodus,Multispecies Hybrid Cultures,bbbbb➪$$Twwgg+$Bw,5,11.5,2.300,17,3.400,1.478
207,Unity,Poly Species Corporations,3,Researched,ggggg➪$YB**+bggw,Galactic Telecomm Control,Xeno Cultural Exchange,Full Interspecies Integration,ggggg➪$$YB**+bgggw,5,12,2.400,16,3.200,1.333
208,Unity,Hyperspace Mining,2,Researched,YYY➪UT+BB,Antimatter Power,Singularity Control,Hyperspace Settlements,YYY➪UTAA+BB,4.5,7.5,1.667,10.5,2.333,1.400
209,Unity,Quantum Computers,1,Researched,BB➪TYg,Universal Translator,Clinical Immortality,Nondeterministic Polynomial Collapse,LL➪TYga,3,4,1.333,5,1.667,1.250
210,Unity,Clinical Immortality,1,Researched,TT➪$w,Genetic Engineering,Atomic Transmutation,Practical Immortality,LL➪$wa,3,4,1.333,5,1.667,1.250
211,Unity,Matter Generation,3,Researched,YYYY➪$$UBbw,Poly Species Corporations,Temporal Dilation,Macroscale Teleportation,YYYY➪$$$UBbwb,6,12.5,2.083,16.5,2.750,1.320
212,Unity,Achronal Analysis,2,Researched,BBB➪UTgg,Antimatter Power,Singularity Control,Time Viewers,BBB➪UTggaa,4.5,6.5,1.444,8.5,1.889,1.308
213,Unity,Organic Construction,2,Researched,TTT➪**wwbg,Interspecies Medical Exchange,Cross Species Ethical Equality,Living Infrastructure,TTT➪**wwbgA,4.5,6,1.333,7.5,1.667,1.250
214,Unity,Atomic Transmutation,1,Researched,U➪BTb,Ubiquitous Cultural Repository,Nanotechnology,Pseudomaterials,U➪BTba,3,4,1.333,5,1.667,1.250
215,Unity,Galactic Telecomm Control,3,Researched,BBBB➪$$$ggb,Poly Species Corporations,Social Exodus,Galactic Domination,BBBB➪$$$$Tggb,6,12,2.000,16.5,2.750,1.375
216,Unity,Temporal Dilation,3,Researched,TTTT➪$$Ubbw,Megastructures,Matter Generation,Stasis Field,TTTT➪$$$Ubbw+U,6,12,2.000,18,3.000,1.500
217,Unity,Singularity Control,2,Researched,UU➪YBBgwb*,Hyperspace Mining,Achronal Analysis,Wormhole Grid,UU➪YBBgwb*A,6,8.5,1.417,10,1.667,1.176
218,Unity,Fractal Symmetry,1,ssLN→$,ssL➪AU,Singularity Control,Hyperspace Mining,Fractal Symmetry,ssL➪AU+Aa,3.5,4.5,1.286,7,2.000,1.556
219,Unity,Explorer Collection,0,Starting,sss➪**Bb,LLN→$,Achronal Analysis,Gravity Sunlens Sensor Array,sss➪**BbA,3,4.5,1.500,6,2.000,1.333
220,Unity,Megastructures,3,Researched,UUU➪$$$$$wb,Temporal Dilation,Matter Generation,Dyson Swarms,UUU➪$$$$$$wbY,9,17,1.889,21.5,2.389,1.265
221,Unity,Adamantine Synthesis,0,Starting,LL➪Ug,Atomic Transmutation,Clinical Immortality,Programmable Pseudomatter,LL➪Uga,3,4,1.333,5,1.667,1.250
222,Unity,Adaptive Fabrication,0,Starting,➪Aa*,sssN→$,Nanotechnology,Predictive Fabrication,➪Aa*a,0,3.5,1000.000,4.5,1000.000,1.286
223,Unity,Bézier,1,sssN→$,sss➪Aaa,Organic Construction,Antimatter Power,Bézier,sss➪Aaa+A,3,3.5,1.167,5,1.667,1.429
224,Unity,Color Space,1,LLN→$,LL➪Aaa,Interspecies Medical Exchange,Cross Species Ethical Equality,Color Space,LL➪Aaa+A,3,3.5,1.167,5,1.667,1.429
225,Yengii Society,Nanotechnology,1,Researched,bbb➪Ug,Genetic Engineering,Atomic Transmutation,Nanofabricators,bbb➪UgT,3,4,1.333,5.5,1.833,1.375
226,Yengii Society,Genetic Engineering,1,Researched,ggg➪YBw,Nanotechnology,Clinical Immortality,Genetic Resynthesis,ggg➪YBwY,3,4,1.333,5.5,1.833,1.375
227,Yengii Society,Universal Translator,1,Researched,www➪$+T,Ubiquitous Cultural Repository,Quantum Computers,Universal Empathic Communication,www➪$+Twg,3,4.5,1.500,6.5,2.167,1.444
228,Yengii Society,Antimatter Power,2,Researched,bbbb➪YTBg,Hyperspace Mining,Organic Construction,Antimatter Compounds,bbbb➪YTBggw,4,5.5,1.375,7.5,1.875,1.364
229,Yengii Society,Interspecies Medical Exchange,2,Researched,gggg➪$w+wb,Cross Species Ethical Equality,Organic Construction,Panbiologic Medicine,gggg➪$wbT+wb,4,6,1.500,8.5,2.125,1.417
230,Yengii Society,Cross Species Ethical Equality,2,Researched,wwww➪$+$g,Interspecies Medical Exchange,Achronal Analysis,Concrete Universal Metaethics,wwww➪$U+$g,4,7,1.750,10,2.500,1.429
231,Yengii Society,Xeno Cultural Exchange,3,Researched,bbbbb➪$Ywwgg+$,Megastructures,Social Exodus,Multispecies Hybrid Cultures,bbbbb➪$$Ywwgg+$Tg,5,11.5,2.300,17,3.400,1.478
232,Yengii Society,Poly Species Corporations,3,Researched,ggggg➪$YT**+ggwb,Galactic Telecomm Control,Xeno Cultural Exchange,Full Interspecies Integration,ggggg➪$$YT**+ggwbw,5,12,2.400,16,3.200,1.333
233,Yengii Society,Social Exodus,3,Researched,wwwww➪$**B+$**BT,Galactic Telecomm Control,Xeno Cultural Exchange,Galactic Colonization,wwwww➪$$**B+$**BTb,5,14.5,2.900,18.5,3.700,1.276
234,Yengii Society,Quantum Computers,1,Researched,BB➪TYb,Universal Translator,Clinical Immortality,Nondeterministic Polynomial Collapse,BB➪TYbY,3,4,1.333,5.5,1.833,1.375
235,Yengii Society,Clinical Immortality,1,Researched,TT➪$g,Genetic Engineering,Atomic Transmutation,Practical Immortality,TT➪$gB,3,4,1.333,5.5,1.833,1.375
236,Yengii Society,Ubiquitous Cultural Repository,1,Researched,YY➪$w,Universal Translator,Quantum Computers,Memetic Lifeforms,YY➪$wT,3,4,1.333,5.5,1.833,1.375
237,Yengii Society,Achronal Analysis,2,Researched,BBB➪UYwg,Antimatter Power,Singularity Control,Time Viewers,BBB➪UYwggT,4.5,6.5,1.444,9,2.000,1.385
238,Yengii Society,Organic Construction,2,Researched,TTT➪**wbgg,Interspecies Medical Exchange,Cross Species Ethical Equality,Living Infrastructure,TTT➪**wbggY,4.5,6,1.333,7.5,1.667,1.250
239,Yengii Society,Hyperspace Mining,2,Researched,YYY➪UT+TY,Antimatter Power,Singularity Control,Hyperspace Settlements,YYY➪UTbbB+TY,4.5,7.5,1.667,11,2.444,1.467
240,Yengii Society,Galactic Telecomm Control,3,Researched,BBBB➪$$$bbw,Poly Species Corporations,Social Exodus,Galactic Domination,BBBB➪$$$$Ybbw,6,12,2.000,16.5,2.750,1.375
241,Yengii Society,Temporal Dilation,3,Researched,TTTT➪$$Ubww,Megastructures,Matter Generation,Stasis Field,TTTT➪$$$Ubww+U,6,12,2.000,18,3.000,1.500
242,Yengii Society,Matter Generation,3,Researched,YYYY➪$$UTbg,Poly Species Corporations,Temporal Dilation,Macroscale Teleportation,YYYY➪$$$UTbgw,6,12.5,2.083,16.5,2.750,1.320
243,Yengii Society,Choice of Paths,0,Starting,wwB➪Ugg,TTW→$,Ubiquitous Cultural Repository,Alien Decision Integration,wwB➪Uggbb,3.5,5,1.429,7,2.000,1.400
244,Yengii Society,Empathy of Words,0,Starting,bbT➪BBww,ggJ→$,Cross Species Ethical Equality,Interspecies Diplomatic Demesne,bbT➪BBwwY,3.5,5,1.429,6.5,1.857,1.300
245,Yengii Society,Atomic Transmutation,1,Researched,U➪YBb,Ubiquitous Cultural Repository,Nanotechnology,Pseudomaterials,U➪YBTb,3,4,1.333,5.5,1.833,1.375
246,Yengii Society,Innovation of Hands,0,Starting,U➪**Yg,BBD→$,Achronal Analysis,Cross-time Think Tank,U➪**Yg+gw,3,4.5,1.500,6.5,2.167,1.444
247,Yengii Society,Work of Mules,0,Starting,ggY➪**Tbb,UI→$,Singularity Control,Gravitic Assembly,ggY➪**Tbbb+ww,3.5,5.5,1.571,8.5,2.429,1.545
248,Yengii Society,Singularity Control,2,Researched,UU➪YBBbbw*,Hyperspace Mining,Achronal Analysis,Wormhole Grid,UU➪YBBwwbbg*,6,8.5,1.417,10.5,1.750,1.235
249,Yengii Society,Phases,,Reference,,,,,,,,,,,
250,Yengii Society,Megastructures,3,Researched,UUU➪$$$$$gb,Temporal Dilation,Matter Generation,Dyson Swarms,UUU➪$$$$$$gbB,9,17,1.889,21.5,2.389,1.265
251,Yengii Society,Social Ecological Mutualism,0,Starting,➪Tb**,Interspecies Medical Exchange,Antimatter Power,Mutualistic Alien Integration,➪Tb**gw,0,4.5,1000.000,6.5,1000.000,1.444
252,Zeth Anocracy,Smuggling Network,0,Starting,ZZZB/YYw➾U,Hyperspace Mining,,In-Hyperspace Hijacking,ZZB/YY➾Us,(1.5 or 4),3,,4,,
253,Zeth Anocracy,Nanotechnology,1,Researched,bbb➪Ug,Genetic Engineering,Atomic Transmutation,Nanofabricators,bbb➪UgT,3,4,1.333,5.5,1.833,1.375
254,Zeth Anocracy,Genetic Engineering,1,Researched,ggg➪YTb,Nanotechnology,Clinical Immortality,Genetic Resynthesis,ggg➪YTbT,3,4,1.333,5.5,1.833,1.375
255,Zeth Anocracy,Universal Translator,1,Researched,www➪$+B,Ubiquitous Cultural Repository,Quantum Computers,Universal Empathic Communication,www➪$+Bgb,3,4.5,1.500,6.5,2.167,1.444
256,Zeth Anocracy,Antimatter Power,2,Researched,bbbb➪TTYw,Hyperspace Mining,Organic Construction,Antimatter Compounds,bbbb➪TTYwgg,4,5.5,1.375,7.5,1.875,1.364
257,Zeth Anocracy,Interspecies Medical Exchange,2,Researched,gggg➪$w+gb,Cross Species Ethical Equality,Organic Construction,Panbiologic Medicine,gggg➪$wTb+gb,4,6,1.500,8.5,2.125,1.417
258,Zeth Anocracy,Cross Species Ethical Equality,2,Researched,wwww➪$+$g,Interspecies Medical Exchange,Achronal Analysis,Concrete Universal Metaethics,wwww➪$U+$g,4,7,1.750,10,2.500,1.429
259,Zeth Anocracy,Xeno Cultural Exchange,3,Researched,bbbbb➪$Tgggw+$,Megastructures,Social Exodus,Multispecies Hybrid Cultures,bbbbb➪$$Tgggw+$Bw,5,11.5,2.300,17,3.400,1.478
260,Zeth Anocracy,Poly Species Corporations,3,Researched,ggggg➪$YT**+bbgw,Galactic Telecomm Control,Xeno Cultural Exchange,Full Interspecies Integration,ggggg➪$$YT**+bbgwb,5,12,2.400,16,3.200,1.333
261,Zeth Anocracy,Social Exodus,3,Researched,wwwww➪$**T+$**YB,Galactic Telecomm Control,Xeno Cultural Exchange,Galactic Colonization,wwwww➪$$**T+$**YBg,5,14.5,2.900,18.5,3.700,1.276
262,Zeth Anocracy,Quantum Computers,1,Researched,BB➪TTw,Universal Translator,Clinical Immortality,Nondeterministic Polynomial Collapse,BB➪TTwY,3,4,1.333,5.5,1.833,1.375
263,Zeth Anocracy,Clinical Immortality,1,Researched,TT➪$g,Genetic Engineering,Atomic Transmutation,Practical Immortality,TT➪$gB,3,4,1.333,5.5,1.833,1.375
264,Zeth Anocracy,Ubiquitous Cultural Repository,1,Researched,YY➪$g,Universal Translator,Quantum Computers,Memetic Lifeforms,YY➪$gT,3,4,1.333,5.5,1.833,1.375
265,Zeth Anocracy,Achronal Analysis,2,Researched,BBB➪UTwb,Antimatter Power,Singularity Control,Time Viewers,BBB➪UTwbwT,4.5,6.5,1.444,9,2.000,1.385
266,Zeth Anocracy,Organic Construction,2,Researched,TTT➪**bbgg,Interspecies Medical Exchange,Cross Species Ethical Equality,Living Infrastructure,TTT➪**bbggY,4.5,6,1.333,7.5,1.667,1.250
267,Zeth Anocracy,Hyperspace Mining,2,Researched,YYY➪UT+TB,Antimatter Power,Singularity Control,Hyperspace Settlements,YYY➪UTBwb+TB,4.5,7.5,1.667,11,2.444,1.467
268,Zeth Anocracy,Galactic Telecomm Control,3,Researched,BBBB➪$$$bgg,Poly Species Corporations,Social Exodus,Galactic Domination,BBBB➪$$$$Tbgg,6,12,2.000,16.5,2.750,1.375
269,Zeth Anocracy,Temporal Dilation,3,Researched,TTTT➪$$Uwwb,Megastructures,Matter Generation,Stasis Field,TTTT➪$$$Uwwb+U,6,12,2.000,18,3.000,1.500
270,Zeth Anocracy,Matter Generation,3,Researched,YYYY➪$$UBbb,Poly Species Corporations,Temporal Dilation,Macroscale Teleportation,YYYY➪$$$UBbbg,6,12.5,2.083,16.5,2.750,1.320
271,Zeth Anocracy,Envoys,0,Starting,www➪+ZTYgU,Cross Species Ethical Equality,,Zeth Diaspora,www➪$+Z$U,3,7,2.333,9,3.000,1.286
272,Zeth Anocracy,Cascading Deception,0,Starting,"➪*BB,B➪**",Universal Translator,,Psychohistorical Deception,"➪*BBg,B➪** §",1.5,6,4.000,7,4.667,1.167
273,Zeth Anocracy,Atomic Transmutation,1,Researched,U➪YBb,Ubiquitous Cultural Repository,Nanotechnology,Pseudomaterials,U➪YBbT,3,4,1.333,5.5,1.833,1.375
274,Zeth Anocracy,Systemic Bribery,0,Starting,ZB/ww➾ss,Achronal Analysis,,Predictive Agent Insertion,ZZZ/ZB/ww➾sss,([0] / 1.5 /2),2,,3,,
275,Zeth Anocracy,Black Market,0,Starting,ZZ/B➾L,Nanotechnology,,Undetectable Confidence Scams,ZZZ/ZB/BB➾LL,([0] / 1.5 /3),1.5,,3,,
276,Zeth Anocracy,Singularity Control,2,Researched,UU➪TBYgbb*,Hyperspace Mining,Achronal Analysis,Wormhole Grid,UU➪TBYgbb*wb,6,8.5,1.417,10.5,1.750,1.235
277,Zeth Anocracy,Phases,,Reference,,,,,,,,,,,
278,Zeth Anocracy,Megastructures,3,Researched,UUU➪$$$$$gb,Temporal Dilation,Matter Generation,Dyson Swarms,UUU➪$$$$$$gbY,9,17,1.889,21.5,2.389,1.265
279,Colonies,Acrux,1,Bid,"D,➪b",ww→,,Acrux,"I,➪bw",,,,,,
280,Colonies,Spica,1,Bid,"I,➪w",gg→,,Spica,"W,➪wg",,,,,,
281,Colonies,Antares,1,Bid,"J,➪g",U→,,Antares,"I,g➪U",,,,,,
282,Colonies,Mimosa,1,Bid,"I,➪w",T→,,Mimosa,"J,➪T",,,,,,
283,Colonies,Regulus,1,Bid,"J,➪w",Y→,,Regulus,"D,➪Y",,,,,,
284,Colonies,Castor,1,Bid,"W,➪w",B→,,Castor,"I,➪B",,,,,,
285,Colonies,Miaplacidus,1,Bid,"W,➪g",B→,,Miaplacidus,"D,➪B",,,,,,
286,Colonies,Toliman,1,Bid,"D,➪w",B→,,Toliman,"I,➪B",,,,,,
287,Colonies,Wezen,1,Bid,"J,➪b",B→,,Wezen,"W,➪B",,,,,,
288,Colonies,Mirfak,1,Bid,"J,➪g",B→,,Mirfak,"I,➪B",,,,,,
289,Colonies,Benetnasch,1,Bid,"W,➪g",T→,,Benetnasch,"J,➪T",,,,,,
290,Colonies,Sargas,1,Bid,"D,➪b",Y→,,Sargas,"J,➪Y",,,,,,
291,Colonies,Peacock,1,Bid,"D,➪b",B→,,Peacock,"J,➪B",,,,,,
292,Colonies,Koo She,1,Bid,"D,➪b",T→,,Koo,"W,➪T",,,,,,
293,Colonies,Polaris,1,Bid,"W,➪b",Y→,,Polaris,"D,➪Y",,,,,,
294,Colonies,Fomalhaut,1,Bid,"I,➪b",U→,,Fomalhaut,"D,b➪U",,,,,,
295,Colonies,Gacrux,1,Bid,"I,➪w",Y→,,Gacrux,"D,➪Y",,,,,,
296,Colonies,Betelgeuse,1,Bid,"I,➪w",U→,,Betelgeuse,"J,w➪U",,,,,,
297,Colonies,Arcturus,1,Bid,"I,➪b",T→,,Arcturus,"W,➪T",,,,,,
298,Colonies,Alnair,1,Bid,"I,➪b",B→,,Alnair,"W,➪B",,,,,,
299,Colonies,Alioth,1,Bid,"I,➪w",bb→,,Alioth,"D,➪wb",,,,,,
300,Colonies,Adara,1,Bid,"J,➪g",ww→,,Adara,"I,➪gw",,,,,,
301,Colonies,Sirius,1,Bid,"J,➪g",B→,,Sirius,"I,➪B",,,,,,
302,Colonies,Rigel,1,Bid,"J,➪g",T→,,Rigel,"W,➪T",,,,,,
303,Colonies,El Nath,1,Bid,"J,➪g",T→,,El,"W,➪T",,,,,,
304,Colonies,Aldebaran,1,Bid,"J,➪b",Y→,,Aldebaran,"D,➪Y",,,,,,
305,Colonies,Atria,1,Bid,"J,➪g",Y→,,Atria,"D,➪Y",,,,,,
306,Colonies,Alnitak,1,Bid,"W,➪g",U→,,Alnitak,"I,g➪U",,,,,,
307,Colonies,Hadar,1,Bid,"W,➪g",Y→,,Hadar,"J,➪Y",,,,,,
308,Colonies,Capella,1,Bid,"W,➪g",T→,,Capella,"J,➪T",,,,,,
309,Colonies,Shaula,1,Bid,"D,➪b",gg→,,Shaula,"J,➪gb",,,,,,
310,Colonies,Canopus,1,Bid,"D,➪b",U→,,Canopus,"I,b➪U",,,,,,
311,Colonies,Vega,1,Bid,"D,➪b",T→,,Vega,"J,➪T",,,,,,
312,Colonies,Altair,1,Bid,"W,➪g",Y→,,Altair,"D,➪Y",,,,,,
313,Colonies,Suhail,1,Bid,"W,➪w",B→,,Suhail,"I,➪B",,,,,,
314,Colonies,Pollux,1,Bid,"D,➪w",T→,,Pollux,"W,➪T",,,,,,
315,Colonies,Deneb,1,Bid,"I,➪w",B→,,Deneb,"W,➪B",,,,,,
